00000 0,117,151,48,58,0.983955
00000 1,344,156,49,63,0.965697
00000 2,559,145,48,61,0.984279

00001 0,115,148,48,58,0.988835
00001 1,344,154,49,63,0.914377
00001 2,560,143,48,61,0.987566

00002 0,113,145,48,58,0.971272
00002 1,344,152,49,63,0.889809
00002 2,561,141,48,61,0.968799

00003 0,110,142,48,58,0.967021
00003 1,344,150,49,63,0.842913
00003 2,562,139,48,61,0.933922

00004 0,107,140,48,58,0.948925
00004 1,343,148,49,64,0.795684
00004 2,564,137,48,61,0.934225

00005 0,104,138,48,58,0.912852
00005 1,343,147,49,64,0.766369
00005 2,565,136,48,61,0.893377

00006 0,101,137,48,58,0.875345
00006 1,342,146,49,64,0.750671
00006 2,566,135,48,61,0.862825

00007 0,98,136,48,58,0.830317
00007 1,341,145,49,64,0.734557
00007 2,567,134,48,61,0.824215

00008 0,95,135,48,58,0.788610
00008 1,340,144,49,64,0.704956
00008 2,568,133,48,61,0.790725

00009 0,92,134,48,58,0.511118
00009 1,339,144,49,64,0.679096
00009 2,569,132,48,62,0.749834

00010 0,90,133,48,58,0.964943
00010 1,339,144,49,64,0.688092
00010 2,570,131,48,62,0.741498

00011 0,88,132,48,58,0.937539
00011 1,339,144,49,64,0.671047
00011 2,571,130,48,62,0.718830

00012 0,87,131,48,58,0.905150
00012 1,339,144,49,64,0.649783
00012 2,572,129,48,62,0.689448

00013 0,86,130,48,58,0.855693
00013 1,339,144,49,64,0.972649
00013 2,573,128,48,62,0.671265

00014 0,86,128,48,58,0.857581
00014 1,339,143,49,64,0.941122
00014 2,574,127,48,62,0.642717

00015 0,87,126,48,58,0.765916
00015 1,339,142,49,64,0.882220
00015 2,575,127,48,62,0.971476

00016 0,88,124,48,58,0.708499
00016 1,339,141,49,64,0.848253
00016 2,576,127,48,62,0.890636

00017 0,90,122,48,58,0.642303
00017 1,339,140,49,64,0.808747
00017 2,578,127,48,62,0.818163

00018 0,92,120,49,59,0.937801
00018 1,339,138,49,64,0.743835
00018 2,580,126,48,62,0.904258

00019 0,94,119,49,59,0.927306
00019 1,339,136,49,64,0.676827
00019 2,582,126,48,62,0.811153

00020 0,96,118,49,59,0.859629
00020 1,339,134,49,64,0.645173
00020 2,584,126,48,62,0.743514

00021 0,97,118,49,60,0.879732
00021 1,339,133,49,64,0.968241
00021 2,585,126,48,62,0.733458

00022 0,99,118,50,61,0.815034
00022 1,339,132,49,64,0.915679
00022 2,587,126,48,62,0.738652

00023 0,101,118,51,62,0.752707
00023 1,340,131,49,64,0.881555
00023 2,589,125,49,63,0.837161

00024 0,104,118,52,63,0.698512
00024 1,341,131,49,64,0.860205
00024 2,591,125,50,64,0.726743

00025 0,107,118,52,63,0.735305
00025 1,342,131,50,65,0.833003
00025 2,594,125,50,65,0.679856

00026 0,112,118,52,63,0.740772
00026 1,344,132,50,66,0.755694
00026 2,598,125,50,66,0.700730

00027 0,117,118,52,63,0.746883
00027 1,347,133,50,66,0.639834
00027 2,602,126,50,66,0.646797

00028 0,122,118,52,63,0.746468
00028 1,350,134,50,66,0.780522
00028 2,607,127,50,66,0.980342

00029 0,128,118,52,63,0.604515
00029 1,354,135,50,66,0.621543
00029 2,612,128,50,66,0.940422

00030 0,135,118,52,63,0.942524
00030 1,359,135,50,66,0.916828
00030 2,618,129,50,66,0.885949

00031 0,143,118,52,63,0.854922
00031 1,365,136,50,66,0.968552
00031 2,625,130,50,66,0.805973

00032 0,152,118,52,63,0.765675
00032 1,372,136,50,66,0.857184
00032 2,633,132,50,66,0.652275

00033 0,163,119,52,63,0.755249
00033 1,380,137,50,66,0.902388
00033 2,642,133,50,66,0.567802

00034 0,176,119,52,63,0.686497
00034 1,390,137,50,66,0.783356
00034 2,652,134,50,66,0.980233

00035 0,190,120,52,63,0.649963
00035 1,401,138,50,66,0.824195
00035 2,663,135,50,66,0.748522

00036 0,206,121,52,63,0.967120
00036 1,413,139,50,66,0.835577
